"parts"	"mor"
"助詞"	"が"
"形容詞"	"おかしい"
"名詞"	"ん"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"貴様"
"名詞"	"達"
"助詞"	"に"
"動詞"	"こしらえる"
"助詞"	"て"
"動詞"	"もらう"
"助動詞"	"た"
"名詞"	"顔"
"助詞"	"じゃ"
"助動詞"	"ある"
"助動詞"	"まい"
"助詞"	"し"
"記号"	"。"
"副詞"	"そのうち"
"記号"	"、"
"名詞"	"野"
"助動詞"	"だ"
"助詞"	"が"
"動詞"	"出る"
"助詞"	"て"
"動詞"	"来る"
"助詞"	"て"
"記号"	"、"
"接続詞"	"いや"
"名詞"	"昨日"
"助詞"	"は"
"接頭詞"	"お"
"名詞"	"手柄"
"助詞"	"で"
"記号"	"、"
"記号"	"――"
"名詞"	"名誉"
"助詞"	"の"
"接頭詞"	"ご"
"名詞"	"負傷"
"助詞"	"で"
"動詞"	"げする"
"助詞"	"か"
"記号"	"、"
"助詞"	"と"
"名詞"	"送別"
"名詞"	"会"
"助詞"	"の"
"名詞"	"時"
"助詞"	"に"
"動詞"	"撲る"
"助動詞"	"た"
"名詞"	"返報"
"助詞"	"と"
"動詞"	"心得る"
"助動詞"	"た"
"名詞"	"の"
"助詞"	"か"
"記号"	"、"
"名詞"	"いや"
"助詞"	"に"
"動詞"	"冷かす"
"助動詞"	"た"
"助詞"	"から"
"記号"	"、"
"名詞"	"余計"
"助動詞"	"だ"
"名詞"	"事"
"助詞"	"を"
"動詞"	"言う"
"助動詞"	"ぬ"
"助詞"	"に"
"名詞"	"絵筆"
"助詞"	"で"
"助詞"	"も"
"動詞"	"舐める"
"助詞"	"て"
"動詞"	"いる"
"助詞"	"と"
"動詞"	"云う"
"助詞"	"て"
"動詞"	"やる"
"助動詞"	"た"
"記号"	"。"
"接続詞"	"すると"
"感動詞"	"こりゃ"
"動詞"	"恐る"
"動詞"	"入る"
"助動詞"	"やす"
"助動詞"	"た"
"記号"	"。"
"接続詞"	"しかし"
"副詞"	"さぞ"
"接頭詞"	"お"
"名詞"	"痛"
"名詞"	"医事"
"助詞"	"で"
"動詞"	"げする"
"助動詞"	"う"
"助詞"	"と"
"動詞"	"云う"
"助詞"	"から"
"記号"	"、"
"形容詞"	"痛い"
"助動詞"	"う"
"助詞"	"が"
"記号"	"、"
"形容詞"	"痛い"
"助動詞"	"ない"
"助動詞"	"う"
"助詞"	"が"
"名詞"	"おれ"
"助詞"	"の"
"名詞"	"面"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"貴様"
"助詞"	"の"
"名詞"	"世話"
"助詞"	"に"
"動詞"	"なる"
"名詞"	"もん"
"助詞"	"か"
"助詞"	"と"
"動詞"	"怒鳴りつける"
"助詞"	"て"
"動詞"	"やる"
"助動詞"	"た"
"記号"	"、"
"名詞"	"向う側"
"助詞"	"の"
"名詞"	"自席"
"助詞"	"へ"
"動詞"	"着く"
"助詞"	"て"
"記号"	"、"
"副詞"	"やっぱり"
"名詞"	"おれ"
"助詞"	"の"
"名詞"	"顔"
"助詞"	"を"
"動詞"	"見る"
"助詞"	"て"
"記号"	"、"
"動詞"	"隣る"
"助詞"	"の"
"名詞"	"歴史"
"助詞"	"の"
"名詞"	"教師"
"助詞"	"と"
"名詞"	"何"
"助詞"	"か"
"名詞"	"内所"
"名詞"	"話"
"助詞"	"を"
"動詞"	"する"
"助詞"	"て"
"動詞"	"笑う"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"接続詞"	"それから"
"名詞"	"山嵐"
"助詞"	"が"
"名詞"	"出頭"
"動詞"	"する"
"助動詞"	"た"
"記号"	"。"
"名詞"	"山嵐"
"助詞"	"の"
"名詞"	"鼻"
"助詞"	"に"
"動詞"	"至る"
"助詞"	"て"
"助詞"	"は"
"記号"	"、"
"名詞"	"紫色"
"助詞"	"に"
"名詞"	"膨張"
"動詞"	"する"
"助詞"	"て"
"記号"	"、"
"動詞"	"掘る"
"助動詞"	"た"
"名詞"	"中"
"助詞"	"から"
"名詞"	"膿"
"助詞"	"が"
"動詞"	"出る"
"名詞"	"そう"
"助詞"	"に"
"動詞"	"見える"
"記号"	"。"
"接頭詞"	"自"
"名詞"	"惚"
"助詞"	"の"
"名詞"	"せい"
"助詞"	"か"
"記号"	"、"
"名詞"	"おれ"
"助詞"	"の"
"名詞"	"顔"
"助詞"	"より"
"副詞"	"よっぽど"
"形容詞"	"手ひどい"
"動詞"	"遣る"
"動詞"	"れる"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"おれ"
"助詞"	"と"
"名詞"	"山嵐"
"助詞"	"は"
"名詞"	"机"
"助詞"	"を"
"動詞"	"並べる"
"助詞"	"て"
"記号"	"、"
"動詞"	"隣る"
"名詞"	"同志"
"助詞"	"の"
"形容詞"	"近しい"
"名詞"	"仲"
"助詞"	"で"
"記号"	"、"
"接頭詞"	"お"
"名詞"	"負け"
"助詞"	"に"
"連体詞"	"その"
"名詞"	"机"
"助詞"	"が"
"名詞"	"部屋"
"助詞"	"の"
"名詞"	"戸口"
"助詞"	"から"
"名詞"	"真正面"
"助詞"	"に"
"動詞"	"ある"
"名詞"	"ん"
"助動詞"	"だ"
"助詞"	"から"
"名詞"	"運"
"助詞"	"が"
"形容詞"	"わるい"
"記号"	"。"
"名詞"	"妙"
"助動詞"	"だ"
"名詞"	"顔"
"助詞"	"が"
"名詞"	"二つ"
"名詞"	"塊"
"動詞"	"まつ"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"ほか"
"助詞"	"の"
"名詞"	"奴"
"助詞"	"は"
"名詞"	"退屈"
"助詞"	"に"
"助詞"	"さえ"
"動詞"	"なる"
"助詞"	"と"
"副詞"	"きっと"
"名詞"	"こっち"
"助詞"	"ばかり"
"動詞"	"見る"
"記号"	"。"
"動詞"	"飛ぶ"
"助動詞"	"だ"
"名詞"	"事"
"助詞"	"で"
"助詞"	"と"
"名詞"	"口"
"助詞"	"で"
"動詞"	"云う"
"助詞"	"が"
"記号"	"、"
"名詞"	"心"
"助詞"	"の"
"名詞"	"うち"
"助詞"	"で"
"助詞"	"は"
"連体詞"	"この"
"名詞"	"馬鹿"
"助詞"	"が"
"助詞"	"と"
"動詞"	"思う"
"動詞"	"てる"
"助詞"	"に"
"名詞"	"相違"
"形容詞"	"ない"
"記号"	"。"
"名詞"	"それ"
"助動詞"	"だ"
"助動詞"	"ない"
"助詞"	"ば"
"副詞"	"ああ"
"動詞"	"いう"
"名詞"	"風"
"助詞"	"に"
"名詞"	"私語"
"動詞"	"合う"
"助詞"	"て"
"助詞"	"は"
"副詞"	"くすくす"
"動詞"	"笑う"
"名詞"	"訳"
"助詞"	"が"
"形容詞"	"ない"
"記号"	"。"
"名詞"	"教場"
"助詞"	"へ"
"動詞"	"出る"
"助詞"	"と"
"名詞"	"生徒"
"助詞"	"は"
"名詞"	"拍手"
"助詞"	"を"
"動詞"	"もつ"
"助詞"	"て"
"動詞"	"迎える"
"助動詞"	"た"
"記号"	"。"
"名詞"	"先生"
"名詞"	"万"
"名詞"	"歳"
"助詞"	"と"
"動詞"	"云う"
"名詞"	"もの"
"助詞"	"が"
"名詞"	"二"
"名詞"	"三"
"名詞"	"人"
"動詞"	"ある"
"助動詞"	"た"
"記号"	"。"
"名詞"	"景気"
"助詞"	"が"
"形容詞"	"いい"
"名詞"	"ん"
"助動詞"	"だ"
"助詞"	"か"
"記号"	"、"
"名詞"	"馬鹿"
"助詞"	"に"
"動詞"	"する"
"動詞"	"れる"
"動詞"	"てる"
"名詞"	"ん"
"助動詞"	"だ"
"助詞"	"か"
"動詞"	"分かる"
"助動詞"	"ない"
"記号"	"。"
"名詞"	"おれ"
"助詞"	"と"
"名詞"	"山嵐"
"助詞"	"が"
"副詞"	"こんなに"
"名詞"	"注意"
"助詞"	"の"
"名詞"	"焼"
"名詞"	"点"
"助詞"	"と"
"動詞"	"なる"
"動詞"	"てる"
"名詞"	"なか"
"助詞"	"に"
"記号"	"、"
"名詞"	"赤シャツ"
"助詞"	"ばかり"
"助詞"	"は"
"副詞"	"平常"
"助詞"	"の"
"名詞"	"通り"
"名詞"	"傍"
"助詞"	"へ"
"動詞"	"来る"
"助詞"	"て"
"記号"	"、"
"副詞"	"どうも"
"動詞"	"飛ぶ"
"助動詞"	"だ"
"名詞"	"災難"
"助動詞"	"です"
"助動詞"	"た"
"記号"	"。"
"名詞"	"僕は君"
"名詞"	"等"
"助詞"	"に対して"
"接頭詞"	"お"
"名詞"	"気の毒"
"助詞"	"で"
"動詞"	"なる"
"助動詞"	"ます"
"助動詞"	"ん"
"記号"	"。"
"名詞"	"新聞"
"助詞"	"の"
"名詞"	"記事"
"助詞"	"は"
"名詞"	"校長"
"助詞"	"とも"
"名詞"	"相談"
"動詞"	"する"
"助詞"	"て"
"記号"	"、"
"名詞"	"正誤"
"助詞"	"を"
"動詞"	"申し込む"
"名詞"	"手続き"
"助詞"	"に"
"動詞"	"する"
"助詞"	"て"
"動詞"	"おく"
"助動詞"	"た"
"助詞"	"から"
"記号"	"、"
"名詞"	"心配"
"動詞"	"する"
"助動詞"	"ない"
"助詞"	"て"
"助詞"	"も"
"形容詞"	"いい"
"記号"	"。"
"名詞"	"僕"
"助詞"	"の"
"名詞"	"弟"
"助詞"	"が"
"名詞"	"堀田"
"名詞"	"君"
"助詞"	"を"
"名詞"	"誘い"
"助詞"	"に"
"動詞"	"行く"
"助動詞"	"た"
"助詞"	"から"
"記号"	"、"
"連体詞"	"こんな"
"名詞"	"事"
"助詞"	"が"
"動詞"	"起る"
"助動詞"	"た"
"助詞"	"ので"
"記号"	"、"
"名詞"	"僕"
"助詞"	"は"
"副詞"	"実に"
"名詞"	"申し訳"
"助詞"	"が"
"形容詞"	"ない"
"記号"	"。"
"接続詞"	"それで"
"連体詞"	"この"
"名詞"	"件"
"助詞"	"について"
"助詞"	"は"
"副詞"	"あくまで"
"名詞"	"尽力"
"動詞"	"する"
"名詞"	"つもり"
"助動詞"	"だ"
"助詞"	"から"
"記号"	"、"
"副詞"	"どうか"
"副詞"	"あしからず"
"記号"	"、"
"助詞"	"など"
"助詞"	"と"
"名詞"	"半分"
"名詞"	"謝罪"
"名詞"	"的"
"助動詞"	"だ"
"名詞"	"言葉"
"助詞"	"を"
"動詞"	"並べる"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"校長"
"助詞"	"は"
"名詞"	"三"
"名詞"	"時間"
"名詞"	"目"
"助詞"	"に"
"名詞"	"校長"
"名詞"	"室"
"助詞"	"から"
"動詞"	"出る"
"助詞"	"て"
"動詞"	"くる"
"助詞"	"て"
"記号"	"、"
"動詞"	"困る"
"助動詞"	"た"
"名詞"	"事"
"助詞"	"を"
"名詞"	"新聞"
"助詞"	"が"
"動詞"	"かき出す"
"助動詞"	"ます"
"助動詞"	"た"
"助詞"	"ね"
"記号"	"。"
"形容詞"	"むずかしい"
"動詞"	"なる"
"助動詞"	"ない"
"助詞"	"ば"
"形容詞"	"いい"
"助詞"	"が"
"助詞"	"と"
"副詞"	"多少"
"名詞"	"心配"
"名詞"	"そう"
"助詞"	"に"
"動詞"	"見える"
"助動詞"	"た"
"記号"	"。"
"名詞"	"おれ"
"助詞"	"に"
"助詞"	"は"
"名詞"	"心配"
"フィラー"	"なんか"
"形容詞"	"ない"
"記号"	"、"
"名詞"	"先"
"助詞"	"で"
"名詞"	"免職"
"助詞"	"を"
"動詞"	"する"
"助動詞"	"だ"
"記号"	"、"
"名詞"	"免職"
"動詞"	"する"
"動詞"	"れる"
"名詞"	"前"
"助詞"	"に"
"名詞"	"辞表"
"助詞"	"を"
"動詞"	"出す"
"助詞"	"て"
"動詞"	"しまう"
"助詞"	"だけ"
"助動詞"	"だ"
"記号"	"。"
"接続詞"	"しかし"
"名詞"	"自分"
"助詞"	"が"
"形容詞"	"わるい"
"助動詞"	"ない"
"助詞"	"のに"
"名詞"	"こっち"
"助詞"	"から"
"名詞"	"身"
"助詞"	"を"
"動詞"	"引く"
"名詞"	"の"
"助詞"	"は"
"名詞"	"法螺吹き"
"助詞"	"の"
"名詞"	"新聞屋"
"助詞"	"を"
"副詞"	"ますます"
"名詞"	"増長"
"動詞"	"する"
"動詞"	"せる"
"名詞"	"訳"
"助動詞"	"だ"
"助詞"	"から"
"記号"	"、"
"名詞"	"新聞屋"
"助詞"	"を"
"名詞"	"正誤"
"動詞"	"する"
"動詞"	"せる"
"助詞"	"て"
"記号"	"、"
"名詞"	"おれ"
"助詞"	"が"
"名詞"	"意地"
"助詞"	"に"
"助詞"	"も"
"動詞"	"務める"
"名詞"	"の"
"助詞"	"が"
"名詞"	"順当"
"助動詞"	"だ"
"助詞"	"と"
"動詞"	"考える"
"助動詞"	"た"
"記号"	"。"
"名詞"	"帰りがけ"
"助詞"	"に"
"名詞"	"新聞屋"
